Beta (5Y Monthly),52-Week Change 3,S&P500 52-Week Change 3,52 Week High 3,52 Week Low 3,50-Day Moving Average 3,200-Day Moving Average 3,Avg Vol (3 month) 3,Avg Vol (10 day) 3,Shares Outstanding 5,Float,% Held by Insiders 1,% Held by Institutions 1,"Shares Short (Jan 28, 2021) 4","Short Ratio (Jan 28, 2021) 4","Short % of Float (Jan 28, 2021) 4","Short % of Shares Outstanding (Jan 28, 2021) 4","Shares Short (prior month Dec 30, 2020) 4",Forward Annual Dividend Rate 4,Forward Annual Dividend Yield 4,Trailing Annual Dividend Rate 3,Trailing Annual Dividend Yield 3,5 Year Average Dividend Yield 4,Payout Ratio 4,Dividend Date 3,Ex-Dividend Date 4,Last Split Factor 2,Last Split Date 3,Fiscal Year Ends,Most Recent Quarter (mrq),Profit Margin,Operating Margin (ttm),Return on Assets (ttm),Return on Equity (ttm),Revenue (ttm),Revenue Per Share (ttm),Quarterly Revenue Growth (yoy),Gross Profit (ttm),EBITDA,Net Income Avi to Common (ttm),Diluted EPS (ttm),Quarterly Earnings Growth (yoy),Total Cash (mrq),Total Cash Per Share (mrq),Total Debt (mrq),Total Debt/Equity (mrq),Current Ratio (mrq),Book Value Per Share (mrq),Operating Cash Flow (ttm),Levered Free Cash Flow (ttm),ticker,stockId,Shares Short 4,Short Ratio 4,Short % of Float 4,Short % of Shares Outstanding 4,Shares Short (prior month ) 4,"Shares Short (Aug 30, 2018) 4","Short Ratio (Aug 30, 2018) 4","Short % of Float (Aug 30, 2018) 4","Short % of Shares Outstanding (Aug 30, 2018) 4","Shares Short (prior month Jul 30, 2018) 4"
1.62,8.37%,16.75%,71.03,27.40,56.63,44.96,4.87M,5.65M,306.1M,305M,0.52%,79.41%,6.74M,1.13,2.51%,2.21%,7.76M,,,0.50,0.73%,3.42,87.72%,"Apr 16, 2020","Apr 01, 2020",2:1,"Jun 03, 1997","Jul 02, 2020","Dec 31, 2020",1.02%,3.72%,1.48%,1.74%,16.33B,54.15,-6.90%,3.78B,2.08B,167M,0.55,,2.96B,9.66,9.5B,96.61,2.01,32.12,1.1B,373.62M,WDC,1795,,,,,,,,,,
0.76,-19.00%,16.75%,329.69,175.81,247.01,229.90,455.51k,420.7k,65.2M,63.57M,2.62%,99.20%,971.45k,2.34,2.08%,1.49%,830.59k,8.31,3.15%,8.31,3.14%,2.88,95.63%,"Jan 14, 2021","Dec 30, 2020",,,"Dec 30, 2020","Dec 30, 2020",36.47%,31.80%,2.42%,9.47%,1.56B,23.83,-14.70%,1.09B,1.02B,568.87M,8.69,-25.70%,84.04M,1.29,6.33B,101.77,0.64,92.32,,,ESS,1815,,,,,,,,,,
1.22,-1.82%,16.75%,16.07,9.37,14.42,12.18,5M,4.61M,424.68M,415.69M,0.64%,75.77%,14.49M,2.69,4.51%,3.41%,12.91M,0.72,4.59%,0.72,4.68%,4.48,54.36%,"Feb 14, 2021","Jan 28, 2021",21:10,"Apr 15, 2007","Dec 30, 2020","Dec 30, 2020",29.94%,40.52%,0.94%,7.20%,1.91B,4.55,9.80%,1.91B,,558.5M,1.32,51.20%,477.3M,1.14,2.16B,,,18.40,,,PBCT,1867,,,,,,,,,,
1.01,29.30%,16.75%,826.81,360.50,779.68,738.82,576.44k,550.41k,117.72M,116.62M,0.96%,90.18%,1.3M,1.94,1.11%,1.10%,1.48M,,,,,,0.00%,,,3:1,"Oct 05, 2017","Dec 30, 2020","Dec 30, 2020",24.33%,24.32%,6.34%,11.82%,4.36B,37.25,4.00%,2.86B,1.33B,1.06B,8.82,2.10%,5.17B,43.93,79.9M,0.82,6.86,82.68,1.48B,906.74M,ISRG,1870,,,,,,,,,,
2.00,-12.23%,16.75%,39.98,17.09,31.78,31.69,4.92M,4.23M,287.57M,245.48M,14.19%,80.17%,40.83M,7.36,18.77%,7.76%,25.04M,,,,,,0.00%,"Dec 27, 2012","Dec 11, 2012",2:1,"Mar 22, 2000","Dec 30, 2019","Sep 29, 2020",10.01%,17.44%,4.55%,12.71%,14.18B,27.31,43.00%,4.27B,3.17B,1.42B,2.45,42.80%,2.8B,5.31,14.21B,106.67,0.77,24.13,3.35B,691.26M,DISH,1909,,,,,,,,,,
0.65,13.12%,16.75%,393.15,271.28,360.41,361.47,2.43M,2.01M,442.96M,441.66M,0.22%,70.04%,3.63M,1.45,0.82%,0.82%,3.85M,2.8,0.79%,2.75,0.77%,0.98,28.23%,"Feb 18, 2021","Feb 03, 2021",2:1,"Jan 13, 2000","Aug 29, 2020","Nov 21, 2020",2.50%,3.70%,7.16%,27.81%,172.93B,390.73,16.70%,21.93B,8.07B,4.32B,9.74,38.20%,14.42B,32.56,10.2B,66.62,0.98,33.55,9.41B,10.38B,COST,1962,,,,,,,,,,
1.65,26.67%,16.75%,181.01,58.38,170.40,147.54,1.44M,1.13M,338.38M,269.33M,21.70%,71.26%,2.45M,1.83,0.92%,0.72%,3.79M,1.92,1.08%,0.43,0.25%,,3.93%,"Mar 30, 2021","Mar 15, 2021",,,"Dec 30, 2020","Dec 30, 2020",7.28%,14.09%,9.81%,377.05%,51.53B,149.98,5.70%,19.29B,9.98B,3.75B,10.93,33.10%,1.79B,5.19,32.68B,1129.91,1.42,1.66,9.23B,4.95B,HCA,2015,,,,,,,,,,
0.61,-7.10%,16.75%,148.77,101.42,139.47,139.83,4.26M,5.43M,1.38B,1.38B,0.14%,72.82%,10.12M,2.18,0.73%,0.73%,9.85M,4.09,3.09%,4.02,2.97%,2.85,78.56%,"Mar 30, 2021","Mar 03, 2021",2:1,"May 28, 1996","Dec 25, 2020","Dec 25, 2020",10.12%,15.36%,7.88%,50.49%,70.37B,50.81,8.80%,38.64B,12.73B,7.12B,5.12,4.50%,9.55B,6.92,45.84B,338.27,0.98,9.75,10.61B,5.12B,PEP,2027,,,,,,,,,,
0.98,9.06%,16.75%,143.09,92.14,123.10,118.04,5.53M,4.81M,106.94M,101.15M,0.28%,98.50%,44M,6.37,63.99%,41.14%,19.88M,3.08,2.21%,3.04,2.20%,2.10,94.70%,"Jan 06, 2021","Dec 23, 2020",3:1,"Jan 19, 1994","Dec 30, 2020","Dec 30, 2020",7.14%,14.27%,3.38%,5.76%,5.08B,45.33,-1.10%,2.09B,1.05B,363.23M,3.21,-19.10%,649.54M,5.79,4.41B,68.74,1.61,56.35,714.1M,607.98M,IFF,2036,,,,,,,,,,
2.44,-35.61%,16.75%,40.55,8.52,22.41,15.47,24.4M,16.35M,931.21M,928.71M,0.23%,68.79%,28.7M,1.31,3.42%,3.08%,32.13M,0.04,0.16%,1.60,6.33%,6.92,,"Apr 14, 2021","Mar 08, 2021",10000:9983,"Feb 24, 2016","Dec 30, 2019","Sep 29, 2020",-75.20%,-38.80%,-4.57%,-44.10%,19.76B,21.74,-29.90%,12.06B,7.86B,-14.37B,-17.28,,1.9B,2.04,41.61B,209.50,1.02,10.84,4.56B,5.39B,OXY,2062,,,,,,,,,,
1.04,31.37%,16.75%,252.45,98.02,226.05,201.63,698.32k,989k,97.5M,96.97M,0.58%,94.57%,1.46M,2.15,1.70%,1.50%,1.61M,,,,,,0.00%,,"Mar 28, 1994",2:1,"May 12, 2002","Dec 30, 2020","Dec 30, 2020",11.13%,21.09%,9.67%,18.35%,13.98B,143.66,52.00%,4.95B,3.57B,1.56B,15.88,313.20%,1.32B,13.55,6.76B,72.03,1.66,96.00,2.14B,1.57B,LH,2070,,,,,,,,,,
0.46,-15.24%,16.75%,50.47,29.28,42.50,40.27,4.51M,3.76M,975.57M,973.47M,0.26%,80.94%,10.1M,2.14,1.04%,1.04%,9.44M,1.53,3.70%,1.52,3.56%,3.42,62.14%,"Dec 09, 2020","Nov 12, 2020",2:1,"May 05, 2004","Dec 30, 2019","Sep 29, 2020",7.14%,11.84%,1.97%,6.70%,33.27B,34.08,-0.90%,10.27B,8.91B,2.38B,2.43,-35.10%,1.86B,1.9,39.16B,111.56,1.09,33.71,5.48B,-84M,EXC,2078,,,,,,,,,,
1.26,115.10%,16.75%,342.21,110.19,298.95,237.96,1.03M,1.33M,154.08M,153.75M,0.28%,98.02%,2.04M,1.82,1.50%,1.32%,2.62M,3.6,1.09%,3.50,1.08%,2.28,39.95%,"Mar 01, 2021","Feb 17, 2021",2:1,"Jan 18, 2000","Jun 29, 2020","Dec 30, 2020",22.52%,32.61%,12.99%,48.44%,6.07B,39.13,9.40%,3.36B,2.31B,1.37B,8.74,20.20%,2.3B,14.9,3.57B,120.91,2.59,19.04,1.97B,1.43B,KLAC,2081,,,,,,,,,,
1.03,-1.88%,16.75%,46.84,26.40,42.77,38.75,5.58M,6.75M,886.76M,885.22M,0.24%,85.07%,6.98M,1.21,0.79%,0.79%,7.43M,1.24,2.93%,1.24,2.94%,2.19,32.38%,"Feb 11, 2021","Jan 28, 2021",9434:10000,"Jul 01, 2007","Dec 30, 2020","Dec 30, 2020",23.38%,29.55%,0.85%,8.26%,15.47B,17.37,-20.00%,15.47B,,3.42B,3.83,-47.90%,211.51B,238.51,62.72B,,,46.53,,,BK,2095,,,,,,,,,,
1.38,22.73%,16.75%,58.53,27.53,54.48,50.59,2.17M,2.84M,301.93M,301.51M,0.69%,78.57%,3.61M,1.6,1.37%,1.20%,3.88M,1.62,2.79%,1.61,2.85%,2.91,68.33%,"Feb 10, 2021","Dec 29, 2020",2:1,"May 31, 2006","Dec 30, 2020","Dec 30, 2020",3.58%,7.87%,5.15%,7.59%,20.14B,66.43,2.50%,2.23B,2.4B,721.47M,2.36,269.90%,3.05B,10.04,5.34B,47.55,3.61,35.55,2.7B,510.33M,NUE,2121,,,,,,,,,,
0.76,45.20%,16.75%,401.29,160.35,358.98,342.28,396.68k,552.16k,40.16M,38.9M,3.18%,95.45%,955.98k,3.36,2.46%,2.38%,994.96k,2.32,0.70%,2.29,0.69%,1.03,25.53%,"Nov 24, 2020","Nov 09, 2020",3:2,"Sep 12, 2004","Dec 30, 2020","Dec 30, 2020",9.32%,11.96%,18.27%,69.88%,3.94B,98.15,44.10%,1.13B,499.97M,366.74M,8.97,228.30%,34.13M,0.85,623.84M,97.56,2.32,15.91,397.58M,253.97M,POOL,2126,,,,,,,,,,
0.80,-1.23%,16.75%,221.30,148.77,199.36,203.84,627.62k,776.33k,113.47M,106.35M,1.30%,92.90%,1.44M,2.38,1.64%,1.26%,1.19M,,,,,,0.00%,"May 17, 2011","May 04, 2011",2:1,"Dec 06, 1999","Dec 30, 2020","Dec 30, 2020",64.42%,65.15%,28.45%,,1.27B,10.99,3.10%,1.08B,870.55M,814.89M,7.07,6.10%,1.17B,10.28,1.79B,,1.23,-12.25,730.18M,547.64M,VRSN,2128,,,,,,,,,,
1.36,58.87%,16.75%,57.05,14.33,51.07,39.00,21.89M,23.7M,1.44B,1.37B,7.21%,80.13%,17.8M,0.6,1.25%,1.24%,15.69M,,,0.38,0.73%,4.19,8.78%,"Mar 19, 2020","Mar 04, 2020",,,"Dec 30, 2020","Dec 30, 2020",5.25%,6.99%,2.31%,13.22%,122.48B,85.47,21.70%,14.5B,13.65B,6.25B,4.33,,23.94B,16.61,111.07B,223.59,1.01,32.16,16.67B,-9.12B,GM,2140,,,,,,,,,,
1.13,51.59%,16.75%,254.13,101.03,238.85,223.06,1.13M,926.78k,148.01M,147M,0.32%,85.28%,2.73M,2.39,1.85%,1.85%,2.71M,5.4,2.19%,5.28,2.19%,2.86,43.99%,"Mar 03, 2021","Feb 17, 2021",2:1,"Jan 02, 2008","Dec 30, 2020","Dec 30, 2020",9.03%,9.65%,5.64%,20.75%,19.81B,133.68,4.50%,4.89B,2.58B,1.79B,12.01,67.00%,3.86B,26.16,4.66B,51.82,1.88,54.60,2.72B,1.46B,CMI,2206,,,,,,,,,,
0.62,-15.45%,16.75%,287.44,157.32,230.70,221.12,245.37k,265.17k,39.98M,39.2M,1.79%,101.17%,609.87k,2.87,2.95%,1.53%,653.2k,6.2,2.59%,6.20,2.57%,2.35,37.58%,"Dec 22, 2020","Nov 30, 2020",,,"Dec 30, 2020","Dec 30, 2020",5.36%,6.41%,1.28%,5.45%,9.59B,238.97,28.90%,656.3M,,514.15M,12.78,-70.80%,1.94B,48.43,1.91B,19.64,1.88,243.25,2.87B,-3.88B,RE,2231,,,,,,,,,,
1.04,39.22%,16.75%,61.96,33.81,57.67,54.23,1.15M,886.14k,135.43M,132.86M,0.93%,96.53%,4.96M,3.67,4.20%,3.07%,3.33M,1.04,1.74%,0.98,1.69%,1.41,46.23%,"Feb 15, 2021","Jan 27, 2021",2:1,"Oct 05, 2016","Dec 30, 2020","Dec 30, 2020",11.91%,15.24%,8.87%,19.62%,2.9B,17.92,11.10%,1.11B,521.4M,344.9M,2.12,31.40%,689.6M,4.26,158.7M,8.59,1.83,11.43,562.1M,448.51M,AOS,2265,,,,,,,,,,
1.02,72.97%,16.75%,555.77,196.78,421.15,353.42,1.13M,1.37M,145.9M,145.41M,0.25%,93.29%,4.15M,3.53,3.25%,2.84%,4.98M,,,,,,0.00%,,,2:1,"Sep 22, 2008","Jan 02, 2021","Jan 02, 2021",20.25%,19.91%,5.41%,14.10%,3.24B,22.03,0.10%,2.23B,832M,656M,4.45,7.50%,3.47B,23.8,1.91B,40.60,3.60,32.15,1.08B,692.5M,ILMN,2273,,,,,,,,,,
0.83,16.66%,16.75%,39.34,22.83,34.46,35.96,3.66M,3.47M,488.58M,486.38M,0.41%,84.75%,12.48M,2.72,3.40%,2.56%,9.1M,1.1,3.23%,0.91,2.63%,2.57,40.20%,"Mar 02, 2021","Jan 27, 2021",1285:1000,"Nov 09, 2016","May 30, 2020","Nov 28, 2020",9.67%,17.94%,5.77%,13.80%,11.52B,23.60,6.20%,3.1B,2.43B,1.11B,2.27,45.50%,68M,0.14,9.54B,112.64,0.83,17.18,1.96B,1.18B,CAG,2276,,,,,,,,,,
2.45,22.63%,16.75%,36.70,5.90,31.91,26.03,8.99M,10M,493.94M,400.96M,12.72%,66.33%,20.33M,2.05,5.59%,4.12%,21.12M,0.01,0.03%,0.16,0.45%,,,"Mar 14, 2021","Mar 08, 2021",2:1,"May 18, 2005","Dec 30, 2020","Dec 30, 2020",-21.00%,-42.38%,-3.70%,-10.99%,4.92B,9.95,-54.70%,1.71B,-867.94M,-1.03B,-2.09,,5.1B,10.32,20.77B,184.65,3.20,13.16,,,MGM,2290,,,,,,,,,,
0.37,-19.50%,16.75%,118.28,77.92,90.15,95.59,1.03M,1.06M,128.16M,127.1M,0.97%,89.27%,2.43M,2.27,2.45%,1.90%,5.21M,2.5,2.67%,2.35,2.53%,2.15,45.81%,"Mar 07, 2021","Feb 18, 2021",3:2,"May 16, 1994","Sep 29, 2020","Dec 30, 2020",22.39%,30.17%,3.49%,9.60%,2.86B,23.01,4.40%,1.53B,1.3B,639.99M,5.15,21.80%,514.08M,4.01,5.13B,71.05,1.49,56.29,1.02B,-985.05M,ATO,2299,,,,,,,,,,
1.33,26.74%,16.75%,125.81,54.82,119.15,110.34,929.06k,786.73k,230.56M,229.53M,0.44%,88.44%,1.87M,2.09,0.91%,0.81%,1.47M,0.8,0.66%,0.72,0.61%,0.65,19.10%,"Mar 30, 2021","Mar 11, 2021",3:2,"Jul 01, 2012","Dec 30, 2020","Dec 30, 2020",19.22%,23.11%,6.49%,15.77%,4.54B,19.79,-8.10%,1.54B,1.3B,872.44M,3.77,0.10%,1.21B,5.26,2.59B,43.48,2.34,25.81,1.28B,1.16B,AME,2302,,,,,,,,,,
1.22,47.26%,16.75%,85.00,26.49,78.78,70.71,1.9M,2.28M,257.66M,256M,0.57%,96.99%,4.27M,2.33,2.73%,1.66%,3.84M,,,,,,0.00%,,,2:1,"Apr 02, 2008","Sep 25, 2020","Dec 25, 2020",30.50%,41.74%,17.07%,49.87%,4.54B,17.42,89.30%,2.51B,2.27B,1.38B,5.26,69.50%,868.7M,3.37,2.81B,86.08,2.46,12.69,1.43B,1.19B,HOLX,2317,,,,,,,,,,
1.18,9.23%,16.75%,82.73,40.01,78.42,74.14,2.78M,3.13M,530M,528.9M,0.24%,93.76%,8.15M,3.58,1.54%,1.54%,7.84M,0.96,1.28%,0.88,1.18%,,34.24%,"Feb 25, 2021","Feb 16, 2021",2:1,"Mar 09, 2014","Dec 30, 2020","Dec 30, 2020",8.36%,14.60%,9.17%,12.74%,16.65B,30.84,-2.30%,6.06B,2.96B,1.39B,2.57,-20.00%,2.72B,5.13,1.78B,16.43,1.93,20.44,3.3B,2.92B,CTSH,2349,,,,,,,,,,
0.19,14.04%,16.75%,87.69,43.70,81.74,75.12,7.53M,6.91M,1.96B,1.96B,0.16%,80.59%,23.56M,2.63,1.20%,1.20%,23.02M,1.54,1.97%,1.40,1.73%,2.41,94.59%,"Mar 14, 2021","Feb 24, 2021",4:1,"Oct 26, 2020","Dec 30, 2020","Dec 30, 2020",16.22%,28.59%,2.62%,5.46%,18B,9.19,-4.20%,10.71B,9.46B,2.92B,1.48,,1.1B,0.56,48.21B,107.31,0.47,18.63,7.98B,-7.06B,NEE,2359,,,,,,,,,,
0.72,25.84%,16.75%,106.75,56.94,92.73,95.73,1.17M,841.06k,135.95M,135.14M,0.84%,96.27%,11.3M,8.05,9.69%,8.31%,12.95M,2.04,2.25%,2.04,2.24%,2.31,54.84%,"Mar 31, 2021","Mar 03, 2021",2:1,"Oct 16, 2005","Dec 30, 2020","Dec 30, 2020",3.12%,4.15%,8.60%,28.53%,16.21B,119.58,19.90%,1.17B,775M,506.42M,3.72,49.10%,243.8M,1.79,1.43B,75.96,1.60,13.83,499.19M,397.86M,CHRW,2366,,,,,,,,,,
1.02,26.19%,16.75%,130.96,55.69,116.61,112.28,1.22M,1.11M,236.13M,209.71M,11.74%,82.80%,2.7M,2.23,1.47%,1.15%,3.42M,,,,,,0.00%,,,2:1,"Apr 10, 2017","Jul 30, 2020","Jan 30, 2021",30.92%,39.70%,16.25%,27.89%,2.29B,9.72,7.30%,1.01B,1.01B,706.75M,2.95,14.70%,616.4M,2.61,511.81M,17.39,3.30,12.46,954.01M,296.7M,CPRT,2391,,,,,,,,,,
1.29,13.72%,16.75%,28.59,14.91,26.52,22.96,3.57M,2.89M,505.4M,282.76M,42.87%,48.79%,19.73M,5.45,6.83%,3.90%,24.32M,1.12,4.07%,1.09,4.04%,3.01,69.87%,"Apr 14, 2021","Mar 29, 2021",3:1,"Jul 25, 2013","Sep 29, 2020","Dec 30, 2020",12.86%,24.38%,5.19%,7.05%,6.17B,12.57,43.60%,2.24B,1.69B,768M,1.56,-1.50%,3.98B,7.87,4.36B,36.24,3.30,20.58,1.28B,70.7M,BEN,2409,,,,,,,,,,
1.03,3.70%,16.75%,455.72,240.00,410.19,413.19,541.24k,771.6k,104.87M,104.36M,1.55%,95.42%,1.4M,2.63,1.57%,1.33%,1.49M,2.25,0.58%,2.10,0.53%,0.56,29.09%,"Jan 21, 2021","Jan 06, 2021",2:1,"Aug 28, 2005","Dec 30, 2020","Dec 30, 2020",17.18%,25.89%,4.25%,9.51%,5.53B,52.84,7.90%,3.54B,1.95B,949.7M,8.98,-70.60%,308.3M,2.94,9.57B,91.29,0.72,99.90,1.53B,1.41B,ROP,2437,,,,,,,,,,
1.04,-10.56%,16.75%,59.46,39.05,54.24,51.91,1.97M,2.02M,293.67M,293.09M,0.18%,87.74%,4.04M,2.29,1.57%,1.37%,3.02M,1.94,3.74%,1.94,3.77%,3.18,41.69%,"Apr 14, 2021","Mar 30, 2021",3:2,"Apr 22, 2001","Jun 29, 2020","Dec 30, 2020",0.88%,1.21%,2.76%,93.05%,156.45B,534.88,4.50%,6.87B,2.75B,1.38B,4.70,185.90%,3.74B,12.73,6.73B,340.91,1.17,6.70,3.4B,1.45B,CAH,2448,,,,,,,,,,
0.80,-10.68%,16.75%,77.03,42.57,65.61,63.14,2.47M,2.93M,294.72M,286.64M,2.58%,82.45%,3.76M,1.74,1.46%,1.03%,3.06M,1.78,2.64%,1.68,2.48%,1.67,29.60%,"Jun 14, 2021","Feb 25, 2021",3:2,"Feb 17, 1997","Oct 02, 2020","Jan 01, 2021",4.72%,8.71%,6.74%,13.40%,42.83B,117.99,-3.30%,5.9B,4.92B,2.02B,5.54,-7.50%,2.41B,6.6,11.36B,71.97,1.76,42.88,4.37B,3.56B,TSN,2473,,,,,,,,,,
0.43,2.33%,16.75%,435.58,275.22,378.94,392.66,512.29k,441.5k,39.4M,39.11M,0.74%,92.37%,1.32M,2.38,4.37%,3.35%,1.37M,3.12,0.84%,2.99,0.79%,0.86,25.64%,"Dec 29, 2020","Dec 13, 2020",,,"Dec 28, 2019","Sep 05, 2020",11.98%,17.57%,30.88%,,3.91B,99.53,17.90%,1.01B,727.31M,468.73M,11.69,14.80%,330.72M,8.39,4.34B,,1.96,-81.53,542.75M,290.82M,DPZ,2496,,,,,,,,,,
1.52,38.01%,16.75%,124.89,48.11,113.03,111.06,3.12M,1.83M,258.83M,231.59M,11.40%,80.80%,6.02M,2.18,2.96%,2.32%,6.31M,2.2,1.86%,2.20,1.88%,2.46,32.92%,"Jan 04, 2021","Dec 13, 2020",3:2,"Aug 03, 2005","Jan 31, 2020","Oct 30, 2020",3.79%,5.26%,7.84%,47.90%,45.52B,175.16,21.40%,10.05B,3.22B,1.73B,6.56,33.40%,5.82B,22.46,4.73B,115.71,1.12,15.84,5.54B,4.38B,BBY,2507,,,,,,,,,,
,,,185.65,100.55,154.84,148.84,1.44M,1.12M,,,,,,,,,,,,4.40,2.70%,,,"Feb 04, 2021",,,,,,,,,,,,,4.13B,,,,,,,,,,,,,GD,2538,,,,,,,,,,
1.70,112.81%,16.75%,51.04,8.00,45.58,36.17,4.29M,2.41M,278.11M,173.56M,19.14%,79.26%,10.26M,1.94,5.22%,3.69%,9.74M,,,0.60,1.23%,5.53,,"Mar 05, 2020","Feb 19, 2020",2:1,"May 30, 2000","Jan 31, 2020","Oct 30, 2020",-1.77%,11.52%,7.76%,,11.74B,42.29,14.10%,5.55B,1.89B,-208M,-0.76,,2.62B,9.43,9.65B,,1.48,-5.64,2.03B,1.89B,LB,2566,,,,,,,,,,
1.29,12.39%,16.75%,117.79,44.30,109.12,98.01,2.52M,2.76M,277.45M,273.1M,1.93%,101.69%,9.55M,3.41,3.51%,3.44%,9.68M,,,0.15,0.13%,0.82,,"Mar 30, 2020","Feb 26, 2020",1000:2052,"Jan 03, 2017","Dec 30, 2020","Dec 30, 2020",-44.69%,2.88%,0.18%,,1.6B,5.78,-59.40%,980M,377M,-715M,-2.58,,3.22B,11.59,11.71B,,1.73,-5.37,708M,217.62M,HLT,2632,,,,,,,,,,
1.01,63.00%,16.75%,178.01,82.00,161.01,164.21,3.72M,3.01M,718M,717.66M,0.01%,69.48%,7.03M,1.86,0.98%,0.81%,7.36M,4.08,2.54%,4.04,2.51%,3.08,246.34%,"Mar 09, 2021","Feb 18, 2021",,,"Dec 30, 2020","Dec 30, 2020",1.69%,3.53%,3.10%,70.71%,84.63B,97.61,21.00%,32.77B,5.68B,1.43B,1.64,,6.32B,7.3,27.75B,3685.79,1.19,0.86,10.46B,-735.88M,UPS,2653,,,,,,,,,,
0.49,11.52%,16.75%,112.88,72.06,105.98,100.95,1.15M,939.17k,204.71M,147.34M,28.05%,67.12%,2.73M,1.95,1.86%,1.34%,2.64M,1.76,1.66%,1.70,1.62%,1.74,,"Feb 28, 2021","Feb 10, 2021",2:1,"Jun 15, 2009","Sep 29, 2020","Dec 30, 2020",-1.66%,1.16%,3.28%,-250.82%,194.55B,951.55,9.70%,5.19B,2.65B,-3.22B,-15.76,99.80%,4.89B,23.89,4.59B,,0.99,-3.41,2.97B,1.93B,ABC,2669,,,,,,,,,,
,39.31%,16.75%,68.21,38.00,64.51,64.09,2.45M,2.82M,433.67M,433.41M,0.01%,85.61%,6.09M,2.25,1.57%,1.40%,5.31M,0.8,1.27%,,,,28.85%,"Mar 09, 2021","Feb 10, 2021",,,"Dec 30, 2020","Dec 30, 2020",7.10%,14.62%,11.43%,,12.76B,29.45,4.20%,3.78B,2.06B,906M,,15.10%,1.78B,4.11,6.5B,,0.97,,1.48B,1.26B,OTIS,2673,,,,,,,,,,
0.52,8.67%,16.75%,43.45,25.19,40.08,38.98,1.88M,1.3M,371.95M,371.28M,0.12%,99.82%,5.63M,2.92,1.81%,1.51%,5.98M,0.98,2.39%,0.98,2.39%,2.72,162.07%,"Feb 25, 2021","Feb 11, 2021",2:1,"Aug 25, 1997","Dec 30, 2020","Dec 30, 2020",29.86%,28.33%,2.03%,5.87%,1B,2.71,15.30%,720.41M,585.21M,298.36M,0.81,94.50%,6.31M,0.02,3.39B,64.67,1.25,13.88,,,DRE,2676,,,,,,,,,,
0.54,-6.77%,16.75%,160.16,110.66,132.50,142.00,2.11M,1.82M,338.36M,337.27M,0.34%,75.52%,8.01M,3.54,2.38%,2.36%,6.57M,4.56,3.49%,4.28,3.24%,3.13,62.30%,"Apr 04, 2021","Mar 03, 2021",1043:1000,"Nov 02, 2014","Dec 30, 2020","Dec 30, 2020",12.29%,18.80%,13.71%,450.80%,19.14B,56.18,5.50%,7.11B,4.3B,2.35B,6.87,-1.50%,303M,0.89,8.95B,1029.69,0.80,1.85,3.73B,2.04B,KMB,2683,,,,,,,,,,
1.14,18.57%,16.75%,153.81,69.77,142.12,134.48,1.31M,1.01M,236.2M,236.39M,0.43%,79.79%,3.64M,2.3,1.54%,1.54%,3.74M,2.16,1.58%,2.10,1.54%,1.62,47.30%,"Mar 11, 2021","Feb 17, 2021",2:1,"Jun 14, 2015","Dec 30, 2020","Dec 30, 2020",7.65%,12.09%,5.61%,19.09%,13.83B,58.42,2.30%,6.06B,2.18B,1.06B,4.45,-6.80%,1.93B,8.14,6.61B,113.60,1.41,24.04,2.13B,1.61B,PPG,2684,,,,,,,,,,
0.16,-17.98%,16.75%,68.99,46.03,57.49,60.87,1.82M,1.6M,288.94M,287.22M,0.45%,92.85%,3.77M,1.8,1.52%,1.32%,4.15M,1.74,3.11%,1.63,2.88%,2.74,61.74%,"Feb 25, 2021","Feb 03, 2021",,,"Dec 30, 2020","Dec 30, 2020",11.30%,22.16%,3.27%,13.51%,6.68B,23.44,0.20%,2.77B,2.39B,755M,2.64,-5.40%,168M,0.58,15.23B,250.62,0.78,19.02,1.28B,-645.88M,CMS,2689,,,,,,,,,,
1.55,57.55%,16.75%,112.64,34.44,105.21,90.80,921.05k,807.86k,135.47M,135.09M,0.56%,87.62%,1.68M,1.84,1.40%,1.24%,1.56M,2.76,2.47%,2.67,2.45%,2.82,76.29%,"Jan 07, 2021","Dec 13, 2020",2:1,"Oct 03, 2011","Dec 30, 2020","Dec 30, 2020",5.64%,11.61%,,8.02%,8.47B,62.53,-0.90%,1.98B,1.56B,478M,3.50,23.10%,650M,4.78,6.06B,98.36,,44.86,1.46B,,EMN,2698,,,,,,,,,,
1.68,-0.44%,16.75%,84.32,35.07,79.26,70.34,1.14M,1.57M,190.33M,179.55M,5.34%,96.48%,3.61M,3.17,2.24%,1.89%,4.01M,0.48,0.65%,0.48,0.67%,0.58,22.12%,"Feb 25, 2021","Feb 10, 2021",2:1,"Jun 11, 2013","Dec 30, 2020","Dec 30, 2020",5.48%,10.44%,2.64%,4.09%,7.56B,39.79,-14.60%,2.18B,1.25B,414.4M,2.17,-35.20%,598.7M,3.16,3.79B,37.35,1.20,53.50,783.7M,1.26B,WAB,2716,,,,,,,,,,
